office,candidate,party,county,votes,district
President of the United States,Totals,Total,Haralson,176,N/A
President of the United States,McCain,R,Harris,10648,N/A
President of the United States,Obama,D,Harris,4184,N/A
President of the United States,Totals,Total,Harris,68,N/A
President of the United States,McCain,R,Hart,6537,N/A
President of the United States,Obama,D,Hart,3365,N/A
President of the United States,Totals,Total,Hart,89,N/A
President of the United States,McCain,R,Heard,3133,N/A
President of the United States,Obama,D,Heard,1042,N/A
President of the United States,Totals,Total,Heard,44,N/A
President of the United States,McCain,R,Henry,47157,N/A
President of the United States,Obama,D,Henry,40567,N/A
President of the United States,Totals,Total,Henry,580,N/A
President of the United States,McCain,R,Houston,33392,N/A
President of the United States,Obama,D,Houston,22094,N/A
President of the United States,Totals,Total,Houston,386,N/A
President of the United States,McCain,R,Irwin,2605,N/A
President of the United States,Obama,D,Irwin,1197,N/A
President of the United States,Totals,Total,Irwin,26,N/A
President of the United States,McCain,R,Jackson,17776,N/A
President of the United States,Obama,D,Jackson,4950,N/A
President of the United States,Totals,Total,Jackson,215,N/A
President of the United States,McCain,R,Jasper,3916,N/A
President of the United States,Obama,D,Jasper,1935,N/A
President of the United States,Totals,Total,Jasper,49,N/A
President of the United States,McCain,R,Jeff davis,3867,N/A
President of the United States,Obama,D,Jeff davis,1356,N/A
President of the United States,Totals,Total,Jeff davis,50,N/A
President of the United States,McCain,R,Jefferson,3061,N/A
President of the United States,Obama,D,Jefferson,4149,N/A
President of the United States,Totals,Total,Jefferson,24,N/A
President of the United States,McCain,R,Jenkins,1936,N/A
President of the United States,Obama,D,Jenkins,1482,N/A
President of the United States,Totals,Total,Jenkins,21,N/A
President of the United States,McCain,R,Johnson,2426,N/A
President of the United States,Obama,D,Johnson,1198,N/A
President of the United States,Totals,Total,Johnson,20,N/A
President of the United States,McCain,R,Jones,7782,N/A
President of the United States,Obama,D,Jones,4572,N/A
President of the United States,Totals,Total,Jones,79,N/A
President of the United States,McCain,R,Lamar,4873,N/A
President of the United States,Obama,D,Lamar,2752,N/A
President of the United States,Totals,Total,Lamar,60,N/A
President of the United States,McCain,R,Lanier,1787,N/A
President of the United States,Obama,D,Lanier,1062,N/A
President of the United States,Totals,Total,Lanier,21,N/A
President of the United States,McCain,R,Laurens,12052,N/A
President of the United States,Obama,D,Laurens,7769,N/A
President of the United States,Totals,Total,Laurens,110,N/A
President of the United States,McCain,R,Lee,9925,N/A
President of the United States,Obama,D,Lee,3100,N/A
President of the United States,Totals,Total,Lee,56,N/A
President of the United States,McCain,R,Liberty,5828,N/A
President of the United States,Obama,D,Liberty,10474,N/A
President of the United States,Totals,Total,Liberty,69,N/A
President of the United States,McCain,R,Lincoln,2731,N/A
President of the United States,Obama,D,Lincoln,1650,N/A
President of the United States,Totals,Total,Lincoln,35,N/A
President of the United States,McCain,R,Long,2119,N/A
President of the United States,Obama,D,Long,1288,N/A
President of the United States,Totals,Total,Long,43,N/A
President of the United States,McCain,R,Lowndes,21269,N/A
President of the United States,Obama,D,Lowndes,17597,N/A
President of the United States,Totals,Total,Lowndes,188,N/A
President of the United States,McCain,R,Lumpkin,8326,N/A
President of the United States,Obama,D,Lumpkin,2586,N/A
President of the United States,Totals,Total,Lumpkin,151,N/A
President of the United States,McCain,R,Macon,1712,N/A
President of the United States,Obama,D,Macon,3251,N/A
President of the United States,Totals,Total,Macon,18,N/A
President of the United States,McCain,R,Madison,8226,N/A
President of the United States,Obama,D,Madison,2965,N/A
President of the United States,Totals,Total,Madison,128,N/A
President of the United States,McCain,R,Marion,1772,N/A
President of the United States,Obama,D,Marion,1381,N/A
President of the United States,Totals,Total,Marion,29,N/A
President of the United States,McCain,R,Mcduffie,5400,N/A
President of the United States,Obama,D,Mcduffie,3989,N/A
President of the United States,Totals,Total,Mcduffie,50,N/A
President of the United States,McCain,R,Mcintosh,3282,N/A
President of the United States,Obama,D,Mcintosh,2905,N/A
President of the United States,Totals,Total,Mcintosh,41,N/A
President of the United States,McCain,R,Meriwether,4982,N/A
President of the United States,Obama,D,Meriwether,4465,N/A
President of the United States,Totals,Total,Meriwether,52,N/A
President of the United States,McCain,R,Miller,1899,N/A
President of the United States,Obama,D,Miller,818,N/A
President of the United States,Totals,Total,Miller,21,N/A
President of the United States,McCain,R,Mitchell,4201,N/A
President of the United States,Obama,D,Mitchell,3872,N/A
President of the United States,Totals,Total,Mitchell,45,N/A
President of the United States,McCain,R,Monroe,7933,N/A
President of the United States,Obama,D,Monroe,4106,N/A
President of the United States,Totals,Total,Monroe,79,N/A
President of the United States,McCain,R,Montgomery,2521,N/A
President of the United States,Obama,D,Montgomery,1045,N/A
President of the United States,Totals,Total,Montgomery,23,N/A
President of the United States,McCain,R,Morgan,5987,N/A
President of the United States,Obama,D,Morgan,3091,N/A
President of the United States,Totals,Total,Morgan,70,N/A
President of the United States,McCain,R,Murray,8180,N/A
President of the United States,Obama,D,Murray,3026,N/A
President of the United States,Totals,Total,Murray,163,N/A
President of the United States,McCain,R,Muscogee,29568,N/A
President of the United States,Obama,D,Muscogee,44158,N/A
President of the United States,Totals,Total,Muscogee,285,N/A
President of the United States,McCain,R,Newton,20337,N/A
President of the United States,Obama,D,Newton,20827,N/A
President of the United States,Totals,Total,Newton,237,N/A
President of the United States,McCain,R,Oconee,12120,N/A
President of the United States,Obama,D,Oconee,4825,N/A
President of the United States,Totals,Total,Oconee,177,N/A
President of the United States,McCain,R,Oglethorpe,4144,N/A
President of the United States,Obama,D,Oglethorpe,2232,N/A
President of the United States,Totals,Total,Oglethorpe,60,N/A
President of the United States,McCain,R,Paulding,39192,N/A
President of the United States,Obama,D,Paulding,17229,N/A
President of the United States,Totals,Total,Paulding,536,N/A
President of the United States,McCain,R,Peach,5173,N/A
President of the United States,Obama,D,Peach,5927,N/A
President of the United States,Totals,Total,Peach,61,N/A
President of the United States,McCain,R,Pickens,10004,N/A
President of the United States,Obama,D,Pickens,2595,N/A
President of the United States,Totals,Total,Pickens,177,N/A
President of the United States,McCain,R,Pierce,5500,N/A
President of the United States,Obama,D,Pierce,1253,N/A
President of the United States,Totals,Total,Pierce,33,N/A
President of the United States,McCain,R,Pike,6547,N/A
President of the United States,Obama,D,Pike,1575,N/A
President of the United States,Totals,Total,Pike,77,N/A
President of the United States,McCain,R,Polk,9850,N/A
President of the United States,Obama,D,Polk,4052,N/A
President of the United States,Totals,Total,Polk,201,N/A
President of the United States,McCain,R,Pulaski,2553,N/A
President of the United States,Obama,D,Pulaski,1377,N/A
President of the United States,Totals,Total,Pulaski,23,N/A
President of the United States,McCain,R,Putnam,5966,N/A
President of the United States,Obama,D,Putnam,3102,N/A
President of the United States,Totals,Total,Putnam,59,N/A
President of the United States,McCain,R,Quitman,509,N/A
President of the United States,Obama,D,Quitman,597,N/A
President of the United States,Totals,Total,Quitman,8,N/A
President of the United States,McCain,R,Rabun,5487,N/A
President of the United States,Obama,D,Rabun,2001,N/A
President of the United States,Totals,Total,Rabun,96,N/A
President of the United States,McCain,R,Randolph,1370,N/A
President of the United States,Obama,D,Randolph,1833,N/A
President of the United States,Totals,Total,Randolph,12,N/A
President of the United States,McCain,R,Richmond,26842,N/A
President of the United States,Obama,D,Richmond,52100,N/A
President of the United States,Totals,Total,Richmond,329,N/A
President of the United States,McCain,R,Rockdale,16921,N/A
President of the United States,Obama,D,Rockdale,20526,N/A
President of the United States,Totals,Total,Rockdale,232,N/A
President of the United States,McCain,R,Schley,1252,N/A
President of the United States,Obama,D,Schley,479,N/A
President of the United States,Totals,Total,Schley,6,N/A
President of the United States,McCain,R,Screven,3423,N/A
President of the United States,Obama,D,Screven,3024,N/A
President of the United States,Totals,Total,Screven,34,N/A
President of the United States,McCain,R,Seminole,2315,N/A
President of the United States,Obama,D,Seminole,1660,N/A
President of the United States,Totals,Total,Seminole,21,N/A
President of the United States,McCain,R,Spalding,14885,N/A
President of the United States,Obama,D,Spalding,10141,N/A
President of the United States,Totals,Total,Spalding,206,N/A
President of the United States,McCain,R,Stephens,7689,N/A
President of the United States,Obama,D,Stephens,2705,N/A
President of the United States,Totals,Total,Stephens,100,N/A
President of the United States,McCain,R,Stewart,783,N/A
President of the United States,Obama,D,Stewart,1305,N/A
President of the United States,Totals,Total,Stewart,17,N/A
President of the United States,McCain,R,Sumter,5717,N/A
President of the United States,Obama,D,Sumter,6454,N/A
President of the United States,Totals,Total,Sumter,64,N/A
President of the United States,McCain,R,Talbot,1301,N/A
President of the United States,Obama,D,Talbot,2369,N/A
President of the United States,Totals,Total,Talbot,25,N/A
President of the United States,McCain,R,Taliaferro,339,N/A
President of the United States,Obama,D,Taliaferro,643,N/A
President of the United States,Totals,Total,Taliaferro,8,N/A
President of the United States,McCain,R,Tattnall,4730,N/A
President of the United States,Obama,D,Tattnall,1932,N/A
President of the United States,Totals,Total,Tattnall,41,N/A
President of the United States,McCain,R,Taylor,2021,N/A
President of the United States,Obama,D,Taylor,1536,N/A
President of the United States,Totals,Total,Taylor,26,N/A
President of the United States,McCain,R,Telfair,2486,N/A
President of the United States,Obama,D,Telfair,1862,N/A
President of the United States,Totals,Total,Telfair,26,N/A
President of the United States,McCain,R,Terrell,1890,N/A
President of the United States,Obama,D,Terrell,2501,N/A
President of the United States,Totals,Total,Terrell,25,N/A
President of the United States,McCain,R,Thomas,10642,N/A
President of the United States,Obama,D,Thomas,7720,N/A
President of the United States,Totals,Total,Thomas,87,N/A
President of the United States,McCain,R,Tift,9431,N/A
President of the United States,Obama,D,Tift,4749,N/A
President of the United States,Totals,Total,Tift,72,N/A
President of the United States,McCain,R,Toombs,6658,N/A
President of the United States,Obama,D,Toombs,2964,N/A
President of the United States,Totals,Total,Toombs,66,N/A
President of the United States,McCain,R,Towns,4292,N/A
President of the United States,Obama,D,Towns,1391,N/A
President of the United States,Totals,Total,Towns,56,N/A
President of the United States,McCain,R,Treutlen,1826,N/A
President of the United States,Obama,D,Treutlen,1112,N/A
President of the United States,Totals,Total,Treutlen,16,N/A
President of the United States,McCain,R,Troup,15391,N/A
President of the United States,Obama,D,Troup,10455,N/A
President of the United States,Totals,Total,Troup,182,N/A
President of the United States,McCain,R,Turner,2096,N/A
President of the United States,Obama,D,Turner,1427,N/A
President of the United States,Totals,Total,Turner,29,N/A
President of the United States,McCain,R,Twiggs,2087,N/A
President of the United States,Obama,D,Twiggs,2402,N/A
President of the United States,Totals,Total,Twiggs,30,N/A
President of the United States,McCain,R,Union,8013,N/A
President of the United States,Obama,D,Union,2486,N/A
President of the United States,Totals,Total,Union,126,N/A
President of the United States,McCain,R,Upson,7291,N/A
President of the United States,Obama,D,Upson,4061,N/A
President of the United States,Totals,Total,Upson,62,N/A
President of the United States,McCain,R,Walker,17110,N/A
President of the United States,Obama,D,Walker,6095,N/A
President of the United States,Totals,Total,Walker,296,N/A
President of the United States,McCain,R,Walton,27253,N/A
President of the United States,Obama,D,Walton,8469,N/A
President of the United States,Totals,Total,Walton,276,N/A
President of the United States,McCain,R,Ware,8311,N/A
President of the United States,Obama,D,Ware,4034,N/A
President of the United States,Totals,Total,Ware,71,N/A
President of the United States,McCain,R,Warren,1087,N/A
President of the United States,Obama,D,Warren,1554,N/A
President of the United States,Totals,Total,Warren,19,N/A
President of the United States,McCain,R,Washington,4216,N/A
President of the United States,Obama,D,Washington,4607,N/A
President of the United States,Totals,Total,Washington,40,N/A
President of the United States,McCain,R,Wayne,7601,N/A
President of the United States,Obama,D,Wayne,2858,N/A
President of the United States,Totals,Total,Wayne,96,N/A
President of the United States,McCain,R,Webster,588,N/A
President of the United States,Obama,D,Webster,515,N/A
President of the United States,Totals,Total,Webster,7,N/A
President of the United States,McCain,R,Wheeler,1408,N/A
President of the United States,Obama,D,Wheeler,794,N/A
President of the United States,Totals,Total,Wheeler,8,N/A
President of the United States,McCain,R,White,8467,N/A
President of the United States,Obama,D,White,2174,N/A
President of the United States,Totals,Total,White,106,N/A
President of the United States,McCain,R,Whitfield,19230,N/A
President of the United States,Obama,D,Whitfield,8167,N/A
President of the United States,Totals,Total,Whitfield,254,N/A
President of the United States,McCain,R,Wilcox,2159,N/A
President of the United States,Obama,D,Wilcox,978,N/A
President of the United States,Totals,Total,Wilcox,24,N/A
President of the United States,McCain,R,Wilkes,2705,N/A
President of the United States,Obama,D,Wilkes,2315,N/A
President of the United States,Totals,Total,Wilkes,32,N/A
President of the United States,McCain,R,Wilkinson,2349,N/A
President of the United States,Obama,D,Wilkinson,2298,N/A
President of the United States,Totals,Total,Wilkinson,23,N/A
President of the United States,McCain,R,Worth,5780,N/A
President of the United States,Obama,D,Worth,2542,N/A
President of the United States,Totals,Total,Worth,43,N/A
U.S. Senate,Chambliss,R,Appling,4312,N/A
U.S. Senate,Martin,D,Appling,2111,N/A
U.S. Senate,Totals,Total,Appling,178,N/A
U.S. Senate,Chambliss,R,Atkinson,1530,N/A
U.S. Senate,Martin,D,Atkinson,1090,N/A
U.S. Senate,Totals,Total,Atkinson,74,N/A
U.S. Senate,Chambliss,R,Bacon,2542,N/A
U.S. Senate,Martin,D,Bacon,1024,N/A
U.S. Senate,Totals,Total,Bacon,76,N/A
U.S. Senate,Chambliss,R,Baker,750,N/A
U.S. Senate,Martin,D,Baker,833,N/A
U.S. Senate,Totals,Total,Baker,33,N/A
U.S. Senate,Chambliss,R,Baldwin,6948,N/A
U.S. Senate,Martin,D,Baldwin,8244,N/A
U.S. Senate,Totals,Total,Baldwin,411,N/A
U.S. Senate,Chambliss,R,Banks,4268,N/A
U.S. Senate,Martin,D,Banks,1513,N/A
U.S. Senate,Totals,Total,Banks,297,N/A
U.S. Senate,Chambliss,R,Barrow,15684,N/A
U.S. Senate,Martin,D,Barrow,6821,N/A
U.S. Senate,Totals,Total,Barrow,1235,N/A
U.S. Senate,Chambliss,R,Bartow,22591,N/A
U.S. Senate,Martin,D,Bartow,10469,N/A
U.S. Senate,Totals,Total,Bartow,1591,N/A
U.S. Senate,Chambliss,R,Ben hill,2868,N/A
U.S. Senate,Martin,D,Ben hill,2716,N/A
U.S. Senate,Totals,Total,Ben hill,140,N/A
U.S. Senate,Chambliss,R,Berrien,3925,N/A
U.S. Senate,Martin,D,Berrien,1994,N/A
U.S. Senate,Totals,Total,Berrien,253,N/A
U.S. Senate,Chambliss,R,Bibb,26422,N/A
U.S. Senate,Martin,D,Bibb,35850,N/A
U.S. Senate,Totals,Total,Bibb,1175,N/A
U.S. Senate,Chambliss,R,Bleckley,3134,N/A
U.S. Senate,Martin,D,Bleckley,1677,N/A
U.S. Senate,Totals,Total,Bleckley,109,N/A
U.S. Senate,Chambliss,R,Brantley,4221,N/A
U.S. Senate,Martin,D,Brantley,1464,N/A
U.S. Senate,Totals,Total,Brantley,210,N/A
U.S. Senate,Chambliss,R,Brooks,3239,N/A
U.S. Senate,Martin,D,Brooks,2316,N/A
U.S. Senate,Totals,Total,Brooks,137,N/A
U.S. Senate,Chambliss,R,Bryan,7957,N/A
U.S. Senate,Martin,D,Bryan,3737,N/A
U.S. Senate,Totals,Total,Bryan,498,N/A
U.S. Senate,Chambliss,R,Bulloch,12690,N/A
U.S. Senate,Martin,D,Bulloch,9514,N/A
U.S. Senate,Totals,Total,Bulloch,671,N/A
U.S. Senate,Chambliss,R,Burke,3864,N/A
U.S. Senate,Martin,D,Burke,4841,N/A
U.S. Senate,Totals,Total,Burke,170,N/A
U.S. Senate,Chambliss,R,Butts,5165,N/A
U.S. Senate,Martin,D,Butts,3222,N/A
U.S. Senate,Totals,Total,Butts,283,N/A
U.S. Senate,Chambliss,R,Calhoun,809,N/A
U.S. Senate,Martin,D,Calhoun,1307,N/A
U.S. Senate,Totals,Total,Calhoun,22,N/A
U.S. Senate,Chambliss,R,Camden,9689,N/A
U.S. Senate,Martin,D,Camden,5640,N/A
U.S. Senate,Totals,Total,Camden,497,N/A
U.S. Senate,Chambliss,R,Candler,1851,N/A
U.S. Senate,Martin,D,Candler,1342,N/A
U.S. Senate,Totals,Total,Candler,108,N/A
U.S. Senate,Chambliss,R,Carroll,25221,N/A
U.S. Senate,Martin,D,Carroll,14739,N/A
U.S. Senate,Totals,Total,Carroll,1777,N/A
U.S. Senate,Chambliss,R,Catoosa,16122,N/A
U.S. Senate,Martin,D,Catoosa,6163,N/A
U.S. Senate,Totals,Total,Catoosa,692,N/A
U.S. Senate,Chambliss,R,Charlton,2180,N/A
U.S. Senate,Martin,D,Charlton,1062,N/A
U.S. Senate,Totals,Total,Charlton,73,N/A
U.S. Senate,Chambliss,R,Chatham,43554,N/A
U.S. Senate,Martin,D,Chatham,56596,N/A
U.S. Senate,Totals,Total,Chatham,3305,N/A
U.S. Senate,Chambliss,R,Chattahoochee,614,N/A
U.S. Senate,Martin,D,Chattahoochee,889,N/A
U.S. Senate,Totals,Total,Chattahoochee,45,N/A
U.S. Senate,Chambliss,R,Chattooga,4251,N/A
U.S. Senate,Martin,D,Chattooga,3408,N/A
U.S. Senate,Totals,Total,Chattooga,259,N/A
U.S. Senate,Chambliss,R,Cherokee,64464,N/A
U.S. Senate,Martin,D,Cherokee,21599,N/A
U.S. Senate,Totals,Total,Cherokee,4708,N/A
U.S. Senate,Chambliss,R,Clarke,15279,N/A
U.S. Senate,Martin,D,Clarke,26202,N/A
U.S. Senate,Totals,Total,Clarke,1788,N/A
U.S. Senate,Chambliss,R,Clay,478,N/A
U.S. Senate,Martin,D,Clay,800,N/A
U.S. Senate,Totals,Total,Clay,18,N/A
U.S. Senate,Chambliss,R,Clayton,15893,N/A
U.S. Senate,Martin,D,Clayton,76122,N/A
U.S. Senate,Totals,Total,Clayton,2103,N/A
U.S. Senate,Chambliss,R,Clinch,1420,N/A
U.S. Senate,Martin,D,Clinch,963,N/A
