county,office,district,party,candidate,votes,election_day,absentee,early_voting,provisional
Upson,President,,REP,JEB BUSH,26,8,0,18,0
Walker,President,,REP,JEB BUSH,54,27,3,24,0
Walton,President,,REP,JEB BUSH,69,49,5,15,0
Ware,President,,REP,JEB BUSH,40,19,2,19,0
Warren,President,,REP,JEB BUSH,2,1,0,1,0
Washington,President,,REP,JEB BUSH,16,9,0,7,0
Wayne,President,,REP,JEB BUSH,42,20,3,19,0
Webster,President,,REP,JEB BUSH,2,1,0,1,0
Wheeler,President,,REP,JEB BUSH,4,4,0,0,0
White,President,,REP,JEB BUSH,24,12,5,7,0
Whitfield,President,,REP,JEB BUSH,71,34,17,20,0
Wilcox,President,,REP,JEB BUSH,7,3,1,3,0
Wilkes,President,,REP,JEB BUSH,9,6,2,1,0
Wilkinson,President,,REP,JEB BUSH,10,7,1,2,0
Worth,President,,REP,JEB BUSH,38,20,0,18,0
,President,,REP,BEN CARSON,80723,69870,899,9742,212
Appling,President,,REP,BEN CARSON,304,273,11,20,0
Atkinson,President,,REP,BEN CARSON,47,39,1,5,2
Bacon,President,,REP,BEN CARSON,110,89,1,20,0
Baker,President,,REP,BEN CARSON,25,16,1,8,0
Baldwin,President,,REP,BEN CARSON,350,308,2,40,0
Banks,President,,REP,BEN CARSON,251,232,1,18,0
Barrow,President,,REP,BEN CARSON,743,646,8,88,1
Bartow,President,,REP,BEN CARSON,1133,1029,9,92,3
Ben Hill,President,,REP,BEN CARSON,209,168,4,37,0
Berrien,President,,REP,BEN CARSON,179,161,1,17,0
Bibb,President,,REP,BEN CARSON,1171,1084,21,60,6
Bleckley,President,,REP,BEN CARSON,141,122,2,17,0
Brantley,President,,REP,BEN CARSON,191,177,2,12,0
Brooks,President,,REP,BEN CARSON,118,107,3,6,2
Bryan,President,,REP,BEN CARSON,337,289,1,44,3
Bulloch,President,,REP,BEN CARSON,653,607,10,34,2
Burke,President,,REP,BEN CARSON,162,145,1,16,0
Butts,President,,REP,BEN CARSON,245,185,4,56,0
Calhoun,President,,REP,BEN CARSON,29,25,0,4,0
Camden,President,,REP,BEN CARSON,454,415,1,37,1
Candler,President,,REP,BEN CARSON,149,75,2,72,0
Carroll,President,,REP,BEN CARSON,1263,1130,13,118,2
Catoosa,President,,REP,BEN CARSON,1106,926,11,164,5
Charlton,President,,REP,BEN CARSON,87,70,2,15,0
Chatham,President,,REP,BEN CARSON,1522,1403,14,105,0
Chattahoochee,President,,REP,BEN CARSON,14,14,0,0,0
Chattooga,President,,REP,BEN CARSON,292,253,2,37,0
Cherokee,President,,REP,BEN CARSON,2524,2113,22,387,2
Clarke,President,,REP,BEN CARSON,499,443,8,46,2
Clay,President,,REP,BEN CARSON,23,17,0,6,0
Clayton,President,,REP,BEN CARSON,531,446,4,81,0
Clinch,President,,REP,BEN CARSON,85,65,0,20,0
Cobb,President,,REP,BEN CARSON,5157,4521,73,555,8
Coffee,President,,REP,BEN CARSON,411,363,2,45,1
Colquitt,President,,REP,BEN CARSON,509,438,1,70,0
Columbia,President,,REP,BEN CARSON,2126,1865,31,228,2
Cook,President,,REP,BEN CARSON,178,151,2,25,0
Coweta,President,,REP,BEN CARSON,1809,1607,17,185,0
Crawford,President,,REP,BEN CARSON,139,126,3,10,0
Crisp,President,,REP,BEN CARSON,148,134,1,13,0
Dade,President,,REP,BEN CARSON,273,237,3,33,0
Dawson,President,,REP,BEN CARSON,311,242,3,66,0
Decatur,President,,REP,BEN CARSON,211,194,1,15,1
DeKalb,President,,REP,BEN CARSON,1778,1526,32,214,6
Dodge,President,,REP,BEN CARSON,226,201,2,23,0
Dooly,President,,REP,BEN CARSON,68,63,1,4,0
Dougherty,President,,REP,BEN CARSON,445,429,2,14,0
Douglas,President,,REP,BEN CARSON,993,803,11,177,2
Early,President,,REP,BEN CARSON,75,65,1,9,0
Echols,President,,REP,BEN CARSON,31,25,0,6,0
Effingham,President,,REP,BEN CARSON,609,558,4,46,1
Elbert,President,,REP,BEN CARSON,173,132,1,37,3
Emanuel,President,,REP,BEN CARSON,198,180,0,18,0
Evans,President,,REP,BEN CARSON,80,65,0,15,0
Fannin,President,,REP,BEN CARSON,351,304,3,43,1
Fayette,President,,REP,BEN CARSON,1511,1291,14,206,0
Floyd,President,,REP,BEN CARSON,1140,1001,7,125,7
Forsyth,President,,REP,BEN CARSON,1776,1394,21,355,6
Franklin,President,,REP,BEN CARSON,304,264,5,35,0
Fulton,President,,REP,BEN CARSON,2772,2374,21,367,10
Gilmer,President,,REP,BEN CARSON,319,269,2,44,4
Glascock,President,,REP,BEN CARSON,42,37,1,3,1
Glynn,President,,REP,BEN CARSON,853,755,5,86,7
Gordon,President,,REP,BEN CARSON,736,629,5,99,3
Grady,President,,REP,BEN CARSON,259,218,6,34,1
Greene,President,,REP,BEN CARSON,181,144,2,35,0
Gwinnett,President,,REP,BEN CARSON,5053,4534,55,440,24
Habersham,President,,REP,BEN CARSON,588,371,23,193,1
Hall,President,,REP,BEN CARSON,2298,2040,23,232,3
Hancock,President,,REP,BEN CARSON,29,24,3,2,0
Haralson,President,,REP,BEN CARSON,437,407,5,25,0
Harris,President,,REP,BEN CARSON,686,620,8,57,1
Hart,President,,REP,BEN CARSON,355,298,2,55,0
Heard,President,,REP,BEN CARSON,112,103,2,6,1
Henry,President,,REP,BEN CARSON,1705,1364,12,318,11
Houston,President,,REP,BEN CARSON,1677,1449,15,208,5
Irwin,President,,REP,BEN CARSON,149,135,0,13,1
Jackson,President,,REP,BEN CARSON,830,702,5,123,0
Jasper,President,,REP,BEN CARSON,115,100,1,14,0
Jeff Davis,President,,REP,BEN CARSON,195,152,3,40,0
Jefferson,President,,REP,BEN CARSON,99,89,2,8,0
Jenkins,President,,REP,BEN CARSON,48,40,1,7,0
Johnson,President,,REP,BEN CARSON,111,104,0,7,0
Jones,President,,REP,BEN CARSON,433,375,8,47,3
Lamar,President,,REP,BEN CARSON,352,312,2,37,1
Lanier,President,,REP,BEN CARSON,50,37,0,13,0
Laurens,President,,REP,BEN CARSON,702,637,12,53,0
Lee,President,,REP,BEN CARSON,388,351,3,34,0
Liberty,President,,REP,BEN CARSON,192,165,1,26,0
Lincoln,President,,REP,BEN CARSON,117,104,1,12,0
Long,President,,REP,BEN CARSON,79,66,0,13,0
Lowndes,President,,REP,BEN CARSON,974,780,15,152,27
Lumpkin,President,,REP,BEN CARSON,411,343,2,64,2
Macon,President,,REP,BEN CARSON,68,53,2,13,0
Madison,President,,REP,BEN CARSON,397,350,3,43,1
Marion,President,,REP,BEN CARSON,55,51,0,4,0
McDuffie,President,,REP,BEN CARSON,202,175,8,19,0
McIntosh,President,,REP,BEN CARSON,105,80,3,22,0
Meriwether,President,,REP,BEN CARSON,223,215,0,8,0
Miller,President,,REP,BEN CARSON,42,39,1,2,0
Mitchell,President,,REP,BEN CARSON,162,136,0,25,1
Monroe,President,,REP,BEN CARSON,483,434,4,45,0
Montgomery,President,,REP,BEN CARSON,148,138,1,9,0
Morgan,President,,REP,BEN CARSON,235,190,3,42,0
Murray,President,,REP,BEN CARSON,411,373,2,36,0
Muscogee,President,,REP,BEN CARSON,1181,1087,19,71,4
Newton,President,,REP,BEN CARSON,736,619,7,110,0
Oconee,President,,REP,BEN CARSON,581,513,4,62,2
Oglethorpe,President,,REP,BEN CARSON,197,166,3,28,0
Paulding,President,,REP,BEN CARSON,1385,1116,11,255,3
Peach,President,,REP,BEN CARSON,259,222,2,35,0
Pickens,President,,REP,BEN CARSON,344,293,6,45,0
Pierce,President,,REP,BEN CARSON,222,181,2,39,0
Pike,President,,REP,BEN CARSON,451,405,8,38,0
Polk,President,,REP,BEN CARSON,391,311,3,76,1
Pulaski,President,,REP,BEN CARSON,92,71,0,20,1
Putnam,President,,REP,BEN CARSON,246,204,2,40,0
Quitman,President,,REP,BEN CARSON,24,18,0,5,1
Rabun,President,,REP,BEN CARSON,277,192,19,66,0
Randolph,President,,REP,BEN CARSON,50,45,0,5,0
Richmond,President,,REP,BEN CARSON,1137,1043,9,84,1
Rockdale,President,,REP,BEN CARSON,494,373,7,112,2
Schley,President,,REP,BEN CARSON,74,62,0,12,0
Screven,President,,REP,BEN CARSON,144,131,0,13,0
Seminole,President,,REP,BEN CARSON,79,74,0,5,0
Spalding,President,,REP,BEN CARSON,774,663,7,104,0
Stephens,President,,REP,BEN CARSON,373,254,4,114,1
Stewart,President,,REP,BEN CARSON,22,20,1,1,0
Sumter,President,,REP,BEN CARSON,235,191,7,37,0
Talbot,President,,REP,BEN CARSON,54,51,0,3,0
Taliaferro,President,,REP,BEN CARSON,8,7,0,1,0
Tattnall,President,,REP,BEN CARSON,166,155,1,10,0
Taylor,President,,REP,BEN CARSON,123,113,0,10,0
Telfair,President,,REP,BEN CARSON,133,123,3,7,0
Terrell,President,,REP,BEN CARSON,71,61,4,6,0
Thomas,President,,REP,BEN CARSON,669,596,1,72,0
Tift,President,,REP,BEN CARSON,437,354,2,77,4
Toombs,President,,REP,BEN CARSON,346,317,3,26,0
Towns,President,,REP,BEN CARSON,197,167,0,29,1
Treutlen,President,,REP,BEN CARSON,67,53,0,14,0
Troup,President,,REP,BEN CARSON,836,742,6,80,8
Turner,President,,REP,BEN CARSON,82,68,0,14,0
Twiggs,President,,REP,BEN CARSON,50,45,0,5,0
Union,President,,REP,BEN CARSON,414,338,6,70,0
Upson,President,,REP,BEN CARSON,427,376,6,45,0
Walker,President,,REP,BEN CARSON,971,815,11,145,0
Walton,President,,REP,BEN CARSON,1046,964,22,60,0
Ware,President,,REP,BEN CARSON,316,286,2,28,0
Warren,President,,REP,BEN CARSON,35,24,3,8,0
Washington,President,,REP,BEN CARSON,183,160,2,21,0
Wayne,President,,REP,BEN CARSON,335,298,2,35,0
Webster,President,,REP,BEN CARSON,24,23,0,1,0
Wheeler,President,,REP,BEN CARSON,61,54,1,5,1
White,President,,REP,BEN CARSON,421,359,8,54,0
Whitfield,President,,REP,BEN CARSON,1139,1023,16,95,5
Wilcox,President,,REP,BEN CARSON,59,53,0,6,0
Wilkes,President,,REP,BEN CARSON,95,78,0,17,0
Wilkinson,President,,REP,BEN CARSON,115,111,1,3,0
Worth,President,,REP,BEN CARSON,220,189,2,29,0
,President,,REP,CHRIS CHRISTIE,1486,1005,111,369,1
Appling,President,,REP,CHRIS CHRISTIE,2,2,0,0,0
Atkinson,President,,REP,CHRIS CHRISTIE,1,1,0,0,0
Bacon,President,,REP,CHRIS CHRISTIE,3,3,0,0,0
Baker,President,,REP,CHRIS CHRISTIE,1,1,0,0,0
Baldwin,President,,REP,CHRIS CHRISTIE,7,4,0,3,0
Banks,President,,REP,CHRIS CHRISTIE,7,7,0,0,0
Barrow,President,,REP,CHRIS CHRISTIE,10,9,1,0,0
Bartow,President,,REP,CHRIS CHRISTIE,7,5,0,2,0
Ben Hill,President,,REP,CHRIS CHRISTIE,1,0,0,1,0
Berrien,President,,REP,CHRIS CHRISTIE,6,5,1,0,0
Bibb,President,,REP,CHRIS CHRISTIE,25,14,6,5,0
Bleckley,President,,REP,CHRIS CHRISTIE,6,5,0,1,0
Brantley,President,,REP,CHRIS CHRISTIE,1,1,0,0,0
Brooks,President,,REP,CHRIS CHRISTIE,4,3,0,1,0
Bryan,President,,REP,CHRIS CHRISTIE,4,4,0,0,0
Bulloch,President,,REP,CHRIS CHRISTIE,9,7,0,2,0
Burke,President,,REP,CHRIS CHRISTIE,1,1,0,0,0
Butts,President,,REP,CHRIS CHRISTIE,5,3,0,2,0
Calhoun,President,,REP,CHRIS CHRISTIE,1,1,0,0,0
Camden,President,,REP,CHRIS CHRISTIE,11,8,1,2,0
Candler,President,,REP,CHRIS CHRISTIE,2,2,0,0,0
Carroll,President,,REP,CHRIS CHRISTIE,17,12,3,2,0
Catoosa,President,,REP,CHRIS CHRISTIE,11,6,1,4,0
Charlton,President,,REP,CHRIS CHRISTIE,3,2,0,1,0
Chatham,President,,REP,CHRIS CHRISTIE,50,36,5,9,0
Chattahoochee,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Chattooga,President,,REP,CHRIS CHRISTIE,1,1,0,0,0
Cherokee,President,,REP,CHRIS CHRISTIE,61,38,3,20,0
Clarke,President,,REP,CHRIS CHRISTIE,15,10,1,4,0
Clay,President,,REP,CHRIS CHRISTIE,1,0,0,1,0
Clayton,President,,REP,CHRIS CHRISTIE,13,9,0,4,0
Clinch,President,,REP,CHRIS CHRISTIE,2,2,0,0,0
Cobb,President,,REP,CHRIS CHRISTIE,116,81,9,26,0
Coffee,President,,REP,CHRIS CHRISTIE,2,1,0,1,0
Colquitt,President,,REP,CHRIS CHRISTIE,11,8,0,3,0
Columbia,President,,REP,CHRIS CHRISTIE,26,18,3,5,0
Cook,President,,REP,CHRIS CHRISTIE,9,7,1,1,0
Coweta,President,,REP,CHRIS CHRISTIE,31,23,3,5,0
Crawford,President,,REP,CHRIS CHRISTIE,4,1,0,3,0
Crisp,President,,REP,CHRIS CHRISTIE,4,4,0,0,0
Dade,President,,REP,CHRIS CHRISTIE,3,2,0,1,0
Dawson,President,,REP,CHRIS CHRISTIE,3,1,0,2,0
Decatur,President,,REP,CHRIS CHRISTIE,3,3,0,0,0
DeKalb,President,,REP,CHRIS CHRISTIE,71,54,3,14,0
Dodge,President,,REP,CHRIS CHRISTIE,2,2,0,0,0
Dooly,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Dougherty,President,,REP,CHRIS CHRISTIE,9,9,0,0,0
Douglas,President,,REP,CHRIS CHRISTIE,20,11,1,8,0
Early,President,,REP,CHRIS CHRISTIE,1,1,0,0,0
Echols,President,,REP,CHRIS CHRISTIE,1,1,0,0,0
Effingham,President,,REP,CHRIS CHRISTIE,2,2,0,0,0
Elbert,President,,REP,CHRIS CHRISTIE,1,0,0,1,0
Emanuel,President,,REP,CHRIS CHRISTIE,2,2,0,0,0
Evans,President,,REP,CHRIS CHRISTIE,2,2,0,0,0
Fannin,President,,REP,CHRIS CHRISTIE,8,6,0,2,0
Fayette,President,,REP,CHRIS CHRISTIE,23,18,0,5,0
Floyd,President,,REP,CHRIS CHRISTIE,16,10,1,5,0
Forsyth,President,,REP,CHRIS CHRISTIE,45,20,8,17,0
Franklin,President,,REP,CHRIS CHRISTIE,5,3,0,2,0
Fulton,President,,REP,CHRIS CHRISTIE,112,70,5,37,0
Gilmer,President,,REP,CHRIS CHRISTIE,3,2,0,1,0
Glascock,President,,REP,CHRIS CHRISTIE,1,1,0,0,0
Glynn,President,,REP,CHRIS CHRISTIE,19,14,0,5,0
Gordon,President,,REP,CHRIS CHRISTIE,9,6,0,3,0
Grady,President,,REP,CHRIS CHRISTIE,3,1,0,2,0
Greene,President,,REP,CHRIS CHRISTIE,7,3,2,2,0
Gwinnett,President,,REP,CHRIS CHRISTIE,100,75,6,18,1
Habersham,President,,REP,CHRIS CHRISTIE,10,3,2,5,0
Hall,President,,REP,CHRIS CHRISTIE,26,18,0,8,0
Hancock,President,,REP,CHRIS CHRISTIE,4,1,2,1,0
Haralson,President,,REP,CHRIS CHRISTIE,4,4,0,0,0
Harris,President,,REP,CHRIS CHRISTIE,9,6,2,1,0
Hart,President,,REP,CHRIS CHRISTIE,3,2,1,0,0
Heard,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Henry,President,,REP,CHRIS CHRISTIE,33,22,4,7,0
Houston,President,,REP,CHRIS CHRISTIE,18,10,2,6,0
Irwin,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Jackson,President,,REP,CHRIS CHRISTIE,12,7,1,4,0
Jasper,President,,REP,CHRIS CHRISTIE,3,1,1,1,0
Jeff Davis,President,,REP,CHRIS CHRISTIE,2,0,0,2,0
Jefferson,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Jenkins,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Johnson,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Jones,President,,REP,CHRIS CHRISTIE,12,8,2,2,0
Lamar,President,,REP,CHRIS CHRISTIE,8,5,0,3,0
Lanier,President,,REP,CHRIS CHRISTIE,1,1,0,0,0
Laurens,President,,REP,CHRIS CHRISTIE,10,7,2,1,0
Lee,President,,REP,CHRIS CHRISTIE,7,6,1,0,0
Liberty,President,,REP,CHRIS CHRISTIE,2,1,0,1,0
Lincoln,President,,REP,CHRIS CHRISTIE,3,2,1,0,0
Long,President,,REP,CHRIS CHRISTIE,2,1,0,1,0
Lowndes,President,,REP,CHRIS CHRISTIE,6,3,2,1,0
Lumpkin,President,,REP,CHRIS CHRISTIE,5,4,0,1,0
Macon,President,,REP,CHRIS CHRISTIE,3,3,0,0,0
Madison,President,,REP,CHRIS CHRISTIE,8,6,0,2,0
Marion,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
McDuffie,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
McIntosh,President,,REP,CHRIS CHRISTIE,5,2,1,2,0
Meriwether,President,,REP,CHRIS CHRISTIE,3,3,0,0,0
Miller,President,,REP,CHRIS CHRISTIE,2,2,0,0,0
Mitchell,President,,REP,CHRIS CHRISTIE,2,1,0,1,0
Monroe,President,,REP,CHRIS CHRISTIE,2,2,0,0,0
Montgomery,President,,REP,CHRIS CHRISTIE,2,2,0,0,0
Morgan,President,,REP,CHRIS CHRISTIE,6,3,2,1,0
Murray,President,,REP,CHRIS CHRISTIE,4,4,0,0,0
Muscogee,President,,REP,CHRIS CHRISTIE,26,22,0,4,0
Newton,President,,REP,CHRIS CHRISTIE,17,14,1,2,0
Oconee,President,,REP,CHRIS CHRISTIE,7,6,0,1,0
Oglethorpe,President,,REP,CHRIS CHRISTIE,5,1,3,1,0
Paulding,President,,REP,CHRIS CHRISTIE,22,11,0,11,0
Peach,President,,REP,CHRIS CHRISTIE,3,1,0,2,0
Pickens,President,,REP,CHRIS CHRISTIE,9,8,1,0,0
Pierce,President,,REP,CHRIS CHRISTIE,4,2,1,1,0
Pike,President,,REP,CHRIS CHRISTIE,3,1,1,1,0
Polk,President,,REP,CHRIS CHRISTIE,7,6,0,1,0
Pulaski,President,,REP,CHRIS CHRISTIE,4,3,0,1,0
Putnam,President,,REP,CHRIS CHRISTIE,1,1,0,0,0
Quitman,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Rabun,President,,REP,CHRIS CHRISTIE,9,1,6,2,0
Randolph,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Richmond,President,,REP,CHRIS CHRISTIE,12,9,0,3,0
Rockdale,President,,REP,CHRIS CHRISTIE,10,5,0,5,0
Schley,President,,REP,CHRIS CHRISTIE,1,1,0,0,0
Screven,President,,REP,CHRIS CHRISTIE,2,0,0,2,0
Seminole,President,,REP,CHRIS CHRISTIE,1,1,0,0,0
Spalding,President,,REP,CHRIS CHRISTIE,9,5,0,4,0
Stephens,President,,REP,CHRIS CHRISTIE,8,3,0,5,0
Stewart,President,,REP,CHRIS CHRISTIE,1,1,0,0,0
Sumter,President,,REP,CHRIS CHRISTIE,3,2,0,1,0
Talbot,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Taliaferro,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Tattnall,President,,REP,CHRIS CHRISTIE,2,1,0,1,0
Taylor,President,,REP,CHRIS CHRISTIE,2,2,0,0,0
Telfair,President,,REP,CHRIS CHRISTIE,1,1,0,0,0
Terrell,President,,REP,CHRIS CHRISTIE,3,3,0,0,0
Thomas,President,,REP,CHRIS CHRISTIE,6,3,0,3,0
Tift,President,,REP,CHRIS CHRISTIE,6,3,0,3,0
Toombs,President,,REP,CHRIS CHRISTIE,5,4,0,1,0
Towns,President,,REP,CHRIS CHRISTIE,3,1,0,2,0
