county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,absentee_in_person_2,provisional,absentee_in_person
Cobb,Mableton 03,United States Senator,,REP,MARY KAY BACALLAO,18,0,18,0,0,0
Cobb,Mableton 04,United States Senator,,REP,MARY KAY BACALLAO,18,0,17,0,0,1
Cobb,Mabry 01,United States Senator,,REP,MARY KAY BACALLAO,16,2,10,1,0,3
Cobb,Macland 01,United States Senator,,REP,MARY KAY BACALLAO,10,0,8,1,0,1
Cobb,Murdock 01,United States Senator,,REP,MARY KAY BACALLAO,66,2,49,7,0,8
Cobb,McEachern 01,United States Senator,,REP,MARY KAY BACALLAO,8,0,8,0,0,0
Cobb,McCleskey 01,United States Senator,,REP,MARY KAY BACALLAO,26,0,24,2,0,0
Cobb,McClure 01,United States Senator,,REP,MARY KAY BACALLAO,29,0,25,4,0,0
Cobb,Marietta 1A,United States Senator,,REP,MARY KAY BACALLAO,11,0,7,4,0,0
Cobb,Marietta 2A,United States Senator,,REP,MARY KAY BACALLAO,29,0,13,16,0,0
Cobb,Marietta 2B,United States Senator,,REP,MARY KAY BACALLAO,31,0,17,13,0,1
Cobb,Marietta 3A,United States Senator,,REP,MARY KAY BACALLAO,45,1,34,10,0,0
Cobb,Marietta 4A,United States Senator,,REP,MARY KAY BACALLAO,29,0,19,10,0,0
Cobb,Marietta 4B,United States Senator,,REP,MARY KAY BACALLAO,13,1,10,2,0,0
Cobb,Marietta 4C,United States Senator,,REP,MARY KAY BACALLAO,39,0,26,13,0,0
Cobb,Marietta 5A,United States Senator,,REP,MARY KAY BACALLAO,8,0,4,2,2,0
Cobb,Marietta 5B,United States Senator,,REP,MARY KAY BACALLAO,5,0,4,1,0,0
Cobb,Marietta 6A,United States Senator,,REP,MARY KAY BACALLAO,12,1,7,1,0,3
Cobb,Marietta 6B,United States Senator,,REP,MARY KAY BACALLAO,27,0,23,4,0,0
Cobb,Marietta 7A,United States Senator,,REP,MARY KAY BACALLAO,7,0,6,1,0,0
Cobb,Mars Hill 01,United States Senator,,REP,MARY KAY BACALLAO,48,7,34,1,0,6
Cobb,Mars Hill 02,United States Senator,,REP,MARY KAY BACALLAO,21,0,16,1,0,4
Cobb,Mount Bethel 01,United States Senator,,REP,MARY KAY BACALLAO,64,1,47,0,0,16
Cobb,Mount Bethel 03,United States Senator,,REP,MARY KAY BACALLAO,28,1,17,0,0,10
Cobb,Mount Bethel 04,United States Senator,,REP,MARY KAY BACALLAO,59,3,44,2,0,10
Cobb,North Cobb 01,United States Senator,,REP,MARY KAY BACALLAO,18,0,16,0,0,2
Cobb,Nickajack 01,United States Senator,,REP,MARY KAY BACALLAO,13,0,13,0,0,0
Cobb,Norton Park 01,United States Senator,,REP,MARY KAY BACALLAO,27,0,22,5,0,0
Cobb,Nicholson 01,United States Senator,,REP,MARY KAY BACALLAO,22,0,20,1,0,1
Cobb,Oakdale 01,United States Senator,,REP,MARY KAY BACALLAO,24,0,21,1,0,2
Cobb,Oregon 01,United States Senator,,REP,MARY KAY BACALLAO,14,0,10,3,0,1
Cobb,Oregon 02,United States Senator,,REP,MARY KAY BACALLAO,18,3,9,6,0,0
Cobb,Oregon 03,United States Senator,,REP,MARY KAY BACALLAO,19,1,11,7,0,0
Cobb,Oregon 04,United States Senator,,REP,MARY KAY BACALLAO,12,1,9,0,0,2
Cobb,Oregon 05,United States Senator,,REP,MARY KAY BACALLAO,28,1,17,7,0,3
Cobb,Pebblebrook 01,United States Senator,,REP,MARY KAY BACALLAO,16,0,14,1,0,1
Cobb,Powers Ferry 01,United States Senator,,REP,MARY KAY BACALLAO,46,1,37,2,0,6
Cobb,Pine Mountain 01,United States Senator,,REP,MARY KAY BACALLAO,31,2,25,2,0,2
Cobb,Pine Mountain 02,United States Senator,,REP,MARY KAY BACALLAO,41,0,33,6,0,2
Cobb,Post Oak 01,United States Senator,,REP,MARY KAY BACALLAO,31,3,28,0,0,0
Cobb,Pope 01,United States Senator,,REP,MARY KAY BACALLAO,54,3,48,1,0,2
Cobb,Palmer 01,United States Senator,,REP,MARY KAY BACALLAO,26,0,24,2,0,0
Cobb,Powder Springs 1A,United States Senator,,REP,MARY KAY BACALLAO,28,2,20,1,0,5
Cobb,Powder Springs 2A,United States Senator,,REP,MARY KAY BACALLAO,7,0,6,1,0,0
Cobb,Powder Springs 3A,United States Senator,,REP,MARY KAY BACALLAO,15,3,10,1,0,1
Cobb,Pitner 01,United States Senator,,REP,MARY KAY BACALLAO,21,1,18,0,0,2
Cobb,Rocky Mountain 01,United States Senator,,REP,MARY KAY BACALLAO,39,0,37,1,0,1
Cobb,Riverside 01,United States Senator,,REP,MARY KAY BACALLAO,1,0,1,0,0,0
Cobb,Roswell 01,United States Senator,,REP,MARY KAY BACALLAO,100,3,85,4,0,8
Cobb,Roswell 02,United States Senator,,REP,MARY KAY BACALLAO,50,0,43,2,0,5
Cobb,Sandy Plains 01,United States Senator,,REP,MARY KAY BACALLAO,47,1,43,0,0,3
Cobb,Shallowford Fall 01,United States Senator,,REP,MARY KAY BACALLAO,47,0,43,0,0,4
Cobb,Simpson 01,United States Senator,,REP,MARY KAY BACALLAO,14,0,14,0,0,0
Cobb,Sewell Mill 01,United States Senator,,REP,MARY KAY BACALLAO,54,2,45,1,0,6
Cobb,Sewell Mill 03,United States Senator,,REP,MARY KAY BACALLAO,50,2,42,3,0,3
Cobb,Smyrna 1A,United States Senator,,REP,MARY KAY BACALLAO,11,1,9,1,0,0
Cobb,Smyrna 2A,United States Senator,,REP,MARY KAY BACALLAO,11,0,11,0,0,0
Cobb,Smyrna 3A,United States Senator,,REP,MARY KAY BACALLAO,24,2,19,3,0,0
Cobb,Smyrna 4A,United States Senator,,REP,MARY KAY BACALLAO,42,1,29,9,0,3
Cobb,Smyrna 5A,United States Senator,,REP,MARY KAY BACALLAO,23,4,18,1,0,0
Cobb,Smyrna 6A,United States Senator,,REP,MARY KAY BACALLAO,32,3,24,3,0,2
Cobb,Smyrna 7A,United States Senator,,REP,MARY KAY BACALLAO,33,3,28,0,0,2
Cobb,Sope Creek 01,United States Senator,,REP,MARY KAY BACALLAO,42,2,32,0,0,8
Cobb,Sope Creek 02,United States Senator,,REP,MARY KAY BACALLAO,46,3,34,3,0,6
Cobb,Sope Creek 03,United States Senator,,REP,MARY KAY BACALLAO,36,0,29,2,0,5
Cobb,Sweetwater 01,United States Senator,,REP,MARY KAY BACALLAO,10,2,8,0,0,0
Cobb,Sweetwater 02,United States Senator,,REP,MARY KAY BACALLAO,2,0,1,1,0,0
Cobb,Terrell Mill 01,United States Senator,,REP,MARY KAY BACALLAO,55,1,44,3,1,6
Cobb,Timber Ridge 01,United States Senator,,REP,MARY KAY BACALLAO,40,1,34,0,0,5
Cobb,Vaughn 01,United States Senator,,REP,MARY KAY BACALLAO,40,2,34,1,0,3
Cobb,Vinings 01,United States Senator,,REP,MARY KAY BACALLAO,14,0,12,2,0,0
Cobb,Vinings 02,United States Senator,,REP,MARY KAY BACALLAO,24,4,19,0,0,1
Cobb,Vinings 03,United States Senator,,REP,MARY KAY BACALLAO,16,2,14,0,0,0
Cobb,Vinings 04,United States Senator,,REP,MARY KAY BACALLAO,35,0,33,2,0,0
Cobb,Wade Green 02,United States Senator,,REP,MARY KAY BACALLAO,56,2,49,1,2,2
Cobb,Wileo 01,United States Senator,,REP,MARY KAY BACALLAO,35,0,31,1,0,3
Cobb,,United States Senator,,REP,DERRICK GRAYSON,4015,159,3225,275,4,352
Cobb,Acworth 1A,United States Senator,,REP,DERRICK GRAYSON,47,1,32,3,0,11
Cobb,Acworth 1B,United States Senator,,REP,DERRICK GRAYSON,45,2,28,4,0,11
Cobb,Acworth 1C,United States Senator,,REP,DERRICK GRAYSON,19,1,18,0,0,0
Cobb,Addison 01,United States Senator,,REP,DERRICK GRAYSON,24,0,22,1,0,1
Cobb,Austell 1A,United States Senator,,REP,DERRICK GRAYSON,20,1,16,0,0,3
Cobb,Bells Ferry 02,United States Senator,,REP,DERRICK GRAYSON,26,0,23,2,0,1
Cobb,Bells Ferry 03,United States Senator,,REP,DERRICK GRAYSON,56,2,51,3,0,0
Cobb,Big Shanty 01,United States Senator,,REP,DERRICK GRAYSON,19,1,14,2,0,2
Cobb,Big Shanty 02,United States Senator,,REP,DERRICK GRAYSON,28,1,26,1,0,0
Cobb,Baker 01,United States Senator,,REP,DERRICK GRAYSON,20,0,19,0,0,1
Cobb,Birney 01,United States Senator,,REP,DERRICK GRAYSON,19,1,16,1,0,1
Cobb,Birney 02,United States Senator,,REP,DERRICK GRAYSON,9,0,9,0,0,0
Cobb,Bryant 01,United States Senator,,REP,DERRICK GRAYSON,0,0,0,0,0,0
Cobb,Bryant 02,United States Senator,,REP,DERRICK GRAYSON,3,0,2,0,0,1
Cobb,Blackwell 01,United States Senator,,REP,DERRICK GRAYSON,20,3,16,1,0,0
Cobb,Chattahoochee 01,United States Senator,,REP,DERRICK GRAYSON,18,1,14,1,0,2
Cobb,Cheatham Hill 02,United States Senator,,REP,DERRICK GRAYSON,38,0,31,6,0,1
Cobb,Cheatham Hill 03,United States Senator,,REP,DERRICK GRAYSON,65,6,39,20,0,0
Cobb,Chalker 01,United States Senator,,REP,DERRICK GRAYSON,39,0,35,4,0,0
Cobb,Clarkdale 01,United States Senator,,REP,DERRICK GRAYSON,5,0,5,0,0,0
Cobb,Clarkdale 02,United States Senator,,REP,DERRICK GRAYSON,27,1,26,0,0,0
Cobb,Cooper 01,United States Senator,,REP,DERRICK GRAYSON,17,1,12,2,0,2
Cobb,Chestnut Ridge 01,United States Senator,,REP,DERRICK GRAYSON,37,1,34,0,0,2
Cobb,Dickerson 01,United States Senator,,REP,DERRICK GRAYSON,35,0,32,0,0,3
Cobb,Dobbins 01,United States Senator,,REP,DERRICK GRAYSON,10,1,8,1,0,0
Cobb,Dowell 01,United States Senator,,REP,DERRICK GRAYSON,26,0,20,4,0,2
Cobb,Dodgen 01,United States Senator,,REP,DERRICK GRAYSON,37,1,34,0,0,2
Cobb,Durham 01,United States Senator,,REP,DERRICK GRAYSON,31,0,24,3,0,4
Cobb,Davis 01,United States Senator,,REP,DERRICK GRAYSON,18,0,18,0,0,0
Cobb,Eastside 01,United States Senator,,REP,DERRICK GRAYSON,57,3,44,0,0,10
Cobb,Eastside 02,United States Senator,,REP,DERRICK GRAYSON,60,2,49,1,1,7
Cobb,Elizabeth 01,United States Senator,,REP,DERRICK GRAYSON,15,0,12,2,0,1
Cobb,Elizabeth 02,United States Senator,,REP,DERRICK GRAYSON,17,0,16,1,0,0
Cobb,Elizabeth 03,United States Senator,,REP,DERRICK GRAYSON,24,0,24,0,0,0
Cobb,Elizabeth 04,United States Senator,,REP,DERRICK GRAYSON,31,0,28,3,0,0
Cobb,Elizabeth 05,United States Senator,,REP,DERRICK GRAYSON,30,2,24,2,0,2
Cobb,East Piedmont 01,United States Senator,,REP,DERRICK GRAYSON,21,1,17,2,0,1
Cobb,Fair Oaks 01,United States Senator,,REP,DERRICK GRAYSON,13,0,11,2,0,0
Cobb,Fair Oaks 02,United States Senator,,REP,DERRICK GRAYSON,14,0,13,1,0,0
Cobb,Fair Oaks 04,United States Senator,,REP,DERRICK GRAYSON,9,1,6,2,0,0
Cobb,Fair Oaks 05,United States Senator,,REP,DERRICK GRAYSON,10,1,8,1,0,0
Cobb,Fullers Park 01,United States Senator,,REP,DERRICK GRAYSON,69,6,47,2,0,14
Cobb,Ford 01,United States Senator,,REP,DERRICK GRAYSON,23,1,16,3,0,3
Cobb,Frey 01,United States Senator,,REP,DERRICK GRAYSON,21,0,17,1,0,3
Cobb,Garrison Mill 01,United States Senator,,REP,DERRICK GRAYSON,37,0,31,1,0,5
Cobb,Gritters 01,United States Senator,,REP,DERRICK GRAYSON,39,0,37,1,0,1
Cobb,Harmony Leland 01,United States Senator,,REP,DERRICK GRAYSON,19,0,16,0,0,3
Cobb,Harrison 01,United States Senator,,REP,DERRICK GRAYSON,45,3,38,3,0,1
Cobb,Hightower 01,United States Senator,,REP,DERRICK GRAYSON,32,3,24,2,0,3
Cobb,Hayes 01,United States Senator,,REP,DERRICK GRAYSON,48,0,36,5,0,7
Cobb,Kennesaw 1A,United States Senator,,REP,DERRICK GRAYSON,18,0,13,3,0,2
Cobb,Kennesaw 2A,United States Senator,,REP,DERRICK GRAYSON,29,0,22,6,0,1
Cobb,Kennesaw 3A,United States Senator,,REP,DERRICK GRAYSON,29,3,18,4,0,4
Cobb,Kennesaw 4A,United States Senator,,REP,DERRICK GRAYSON,31,2,23,2,0,4
Cobb,Kennesaw 5A,United States Senator,,REP,DERRICK GRAYSON,49,0,44,1,0,4
Cobb,Kell 01,United States Senator,,REP,DERRICK GRAYSON,22,2,16,4,0,0
Cobb,Kemp 01,United States Senator,,REP,DERRICK GRAYSON,30,2,23,4,0,1
Cobb,Kemp 02,United States Senator,,REP,DERRICK GRAYSON,54,4,39,10,0,1
Cobb,Kemp 03,United States Senator,,REP,DERRICK GRAYSON,42,1,31,0,0,10
Cobb,Lasssiter 01,United States Senator,,REP,DERRICK GRAYSON,35,0,32,0,0,3
Cobb,Lindley 01,United States Senator,,REP,DERRICK GRAYSON,10,1,7,0,0,2
Cobb,Lost Mountain 01,United States Senator,,REP,DERRICK GRAYSON,39,0,34,0,0,5
Cobb,Lost Mountain 02,United States Senator,,REP,DERRICK GRAYSON,41,1,31,4,0,5
Cobb,Lost Mountain 03,United States Senator,,REP,DERRICK GRAYSON,55,1,34,6,0,14
Cobb,Lost Mountain 04,United States Senator,,REP,DERRICK GRAYSON,25,5,13,2,0,5
Cobb,Lewis 01,United States Senator,,REP,DERRICK GRAYSON,13,0,10,0,0,3
Cobb,Mableton 01,United States Senator,,REP,DERRICK GRAYSON,15,0,14,0,0,1
Cobb,Mableton 02,United States Senator,,REP,DERRICK GRAYSON,11,1,9,1,0,0
Cobb,Mableton 03,United States Senator,,REP,DERRICK GRAYSON,30,0,27,0,0,3
Cobb,Mableton 04,United States Senator,,REP,DERRICK GRAYSON,10,2,6,0,0,2
Cobb,Mabry 01,United States Senator,,REP,DERRICK GRAYSON,21,0,20,1,0,0
Cobb,Macland 01,United States Senator,,REP,DERRICK GRAYSON,16,0,15,1,0,0
Cobb,Murdock 01,United States Senator,,REP,DERRICK GRAYSON,68,1,54,3,0,10
Cobb,McEachern 01,United States Senator,,REP,DERRICK GRAYSON,21,0,18,2,0,1
Cobb,McCleskey 01,United States Senator,,REP,DERRICK GRAYSON,25,0,21,1,0,3
Cobb,McClure 01,United States Senator,,REP,DERRICK GRAYSON,15,0,11,1,0,3
Cobb,Marietta 1A,United States Senator,,REP,DERRICK GRAYSON,18,0,10,8,0,0
Cobb,Marietta 2A,United States Senator,,REP,DERRICK GRAYSON,17,0,12,5,0,0
Cobb,Marietta 2B,United States Senator,,REP,DERRICK GRAYSON,46,5,28,13,0,0
Cobb,Marietta 3A,United States Senator,,REP,DERRICK GRAYSON,38,0,25,12,1,0
Cobb,Marietta 4A,United States Senator,,REP,DERRICK GRAYSON,33,1,27,5,0,0
Cobb,Marietta 4B,United States Senator,,REP,DERRICK GRAYSON,21,4,16,1,0,0
Cobb,Marietta 4C,United States Senator,,REP,DERRICK GRAYSON,37,0,29,8,0,0
Cobb,Marietta 5A,United States Senator,,REP,DERRICK GRAYSON,6,1,5,0,0,0
Cobb,Marietta 5B,United States Senator,,REP,DERRICK GRAYSON,6,1,3,1,0,1
Cobb,Marietta 6A,United States Senator,,REP,DERRICK GRAYSON,2,0,0,2,0,0
Cobb,Marietta 6B,United States Senator,,REP,DERRICK GRAYSON,30,1,27,1,0,1
Cobb,Marietta 7A,United States Senator,,REP,DERRICK GRAYSON,4,0,3,1,0,0
Cobb,Mars Hill 01,United States Senator,,REP,DERRICK GRAYSON,48,0,41,0,0,7
Cobb,Mars Hill 02,United States Senator,,REP,DERRICK GRAYSON,21,0,15,1,0,5
Cobb,Mount Bethel 01,United States Senator,,REP,DERRICK GRAYSON,39,2,24,1,1,11
Cobb,Mount Bethel 03,United States Senator,,REP,DERRICK GRAYSON,36,4,21,0,0,11
Cobb,Mount Bethel 04,United States Senator,,REP,DERRICK GRAYSON,42,6,24,1,0,11
Cobb,North Cobb 01,United States Senator,,REP,DERRICK GRAYSON,23,2,20,0,0,1
Cobb,Nickajack 01,United States Senator,,REP,DERRICK GRAYSON,8,0,8,0,0,0
Cobb,Norton Park 01,United States Senator,,REP,DERRICK GRAYSON,31,0,29,2,0,0
Cobb,Nicholson 01,United States Senator,,REP,DERRICK GRAYSON,16,0,15,1,0,0
Cobb,Oakdale 01,United States Senator,,REP,DERRICK GRAYSON,20,2,16,1,0,1
Cobb,Oregon 01,United States Senator,,REP,DERRICK GRAYSON,26,0,21,2,0,3
Cobb,Oregon 02,United States Senator,,REP,DERRICK GRAYSON,18,0,16,1,0,1
Cobb,Oregon 03,United States Senator,,REP,DERRICK GRAYSON,20,0,16,4,0,0
Cobb,Oregon 04,United States Senator,,REP,DERRICK GRAYSON,19,1,15,2,0,1
Cobb,Oregon 05,United States Senator,,REP,DERRICK GRAYSON,41,0,31,10,0,0
Cobb,Pebblebrook 01,United States Senator,,REP,DERRICK GRAYSON,5,0,5,0,0,0
Cobb,Powers Ferry 01,United States Senator,,REP,DERRICK GRAYSON,50,0,42,4,0,4
Cobb,Pine Mountain 01,United States Senator,,REP,DERRICK GRAYSON,32,1,30,0,0,1
Cobb,Pine Mountain 02,United States Senator,,REP,DERRICK GRAYSON,30,2,23,4,0,1
Cobb,Post Oak 01,United States Senator,,REP,DERRICK GRAYSON,34,1,29,0,0,4
Cobb,Pope 01,United States Senator,,REP,DERRICK GRAYSON,39,3,33,1,0,2
Cobb,Palmer 01,United States Senator,,REP,DERRICK GRAYSON,23,0,23,0,0,0
Cobb,Powder Springs 1A,United States Senator,,REP,DERRICK GRAYSON,19,1,16,0,0,2
Cobb,Powder Springs 2A,United States Senator,,REP,DERRICK GRAYSON,10,0,9,0,0,1
Cobb,Powder Springs 3A,United States Senator,,REP,DERRICK GRAYSON,10,0,8,0,0,2
Cobb,Pitner 01,United States Senator,,REP,DERRICK GRAYSON,24,1,23,0,0,0
Cobb,Rocky Mountain 01,United States Senator,,REP,DERRICK GRAYSON,44,3,40,0,0,1
Cobb,Riverside 01,United States Senator,,REP,DERRICK GRAYSON,0,0,0,0,0,0
Cobb,Roswell 01,United States Senator,,REP,DERRICK GRAYSON,74,1,62,3,1,7
Cobb,Roswell 02,United States Senator,,REP,DERRICK GRAYSON,30,0,27,0,0,3
Cobb,Sandy Plains 01,United States Senator,,REP,DERRICK GRAYSON,31,2,29,0,0,0
Cobb,Shallowford Fall 01,United States Senator,,REP,DERRICK GRAYSON,42,1,32,1,0,8
Cobb,Simpson 01,United States Senator,,REP,DERRICK GRAYSON,11,0,11,0,0,0
Cobb,Sewell Mill 01,United States Senator,,REP,DERRICK GRAYSON,51,2,43,0,0,6
Cobb,Sewell Mill 03,United States Senator,,REP,DERRICK GRAYSON,43,1,34,4,0,4
Cobb,Smyrna 1A,United States Senator,,REP,DERRICK GRAYSON,15,2,10,2,0,1
Cobb,Smyrna 2A,United States Senator,,REP,DERRICK GRAYSON,25,2,20,3,0,0
Cobb,Smyrna 3A,United States Senator,,REP,DERRICK GRAYSON,32,4,26,2,0,0
Cobb,Smyrna 4A,United States Senator,,REP,DERRICK GRAYSON,43,7,31,4,0,1
Cobb,Smyrna 5A,United States Senator,,REP,DERRICK GRAYSON,16,0,15,1,0,0
Cobb,Smyrna 6A,United States Senator,,REP,DERRICK GRAYSON,49,0,44,5,0,0
Cobb,Smyrna 7A,United States Senator,,REP,DERRICK GRAYSON,18,1,14,0,0,3
Cobb,Sope Creek 01,United States Senator,,REP,DERRICK GRAYSON,54,0,42,0,0,12
Cobb,Sope Creek 02,United States Senator,,REP,DERRICK GRAYSON,48,4,32,1,0,11
Cobb,Sope Creek 03,United States Senator,,REP,DERRICK GRAYSON,32,0,30,1,0,1
Cobb,Sweetwater 01,United States Senator,,REP,DERRICK GRAYSON,19,0,19,0,0,0
Cobb,Sweetwater 02,United States Senator,,REP,DERRICK GRAYSON,8,1,5,0,0,2
Cobb,Terrell Mill 01,United States Senator,,REP,DERRICK GRAYSON,40,3,31,2,0,4
Cobb,Timber Ridge 01,United States Senator,,REP,DERRICK GRAYSON,24,2,18,0,0,4
Cobb,Vaughn 01,United States Senator,,REP,DERRICK GRAYSON,36,1,28,0,0,7
Cobb,Vinings 01,United States Senator,,REP,DERRICK GRAYSON,10,0,10,0,0,0
Cobb,Vinings 02,United States Senator,,REP,DERRICK GRAYSON,22,2,17,2,0,1
Cobb,Vinings 03,United States Senator,,REP,DERRICK GRAYSON,18,5,12,0,0,1
Cobb,Vinings 04,United States Senator,,REP,DERRICK GRAYSON,25,1,22,1,0,1
Cobb,Wade Green 02,United States Senator,,REP,DERRICK GRAYSON,35,0,31,1,0,3
Cobb,Wileo 01,United States Senator,,REP,DERRICK GRAYSON,32,1,29,0,0,2
